filename,R_min,R_max,R_mean,R_std,G_min,G_max,G_mean,G_std,B_min,B_max,B_mean,B_std,A_min,A_max,A_mean,A_std,Y_min,Y_max,Y_mean,Y_std,vertex_count
mesh_233747.ply,2.0,255.0,97.07785034179688,39.693702697753906,2.0,255.0,94.46747589111328,41.46878433227539,0.0,255.0,92.50448608398438,43.68096160888672,255.0,255.0,255.0,0.0,1.8555999994277954,255.0,94.8807144165039,41.11103057861328,48745
mesh_233749.ply,2.0,255.0,97.67729949951172,39.8453254699707,2.0,255.0,95.48916625976562,41.7471809387207,0.0,255.0,93.70415496826172,43.97203063964844,255.0,255.0,255.0,0.0,1.8555999994277954,255.0,95.82548522949219,41.37407684326172,50635
mesh_233751.ply,2.0,255.0,92.15479278564453,43.29525375366211,2.0,255.0,90.95893096923828,44.99601364135742,0.0,255.0,89.50273895263672,47.01396942138672,255.0,255.0,255.0,0.0,1.8555999994277954,255.0,91.10803985595703,44.63273620605469,55494
mesh_233753.ply,2.0,255.0,93.88900756835938,45.25122833251953,5.0,255.0,94.02107238769531,46.5626335144043,2.0,255.0,93.42202758789062,48.31254196166992,255.0,255.0,255.0,0.0,4.217799663543701,255.0,93.94973754882812,46.294189453125,48220
mesh_233756.ply,2.0,231.0,95.9737777709961,46.24652862548828,4.0,243.0,97.2472152709961,47.29157638549805,3.0,248.0,97.20811462402344,48.792381286621094,255.0,255.0,255.0,0.0,3.787400007247925,240.66539001464844,96.9736557006836,47.08297348022461,46105
mesh_233758.ply,2.0,234.0,92.39002990722656,46.095603942871094,5.0,243.0,94.2998275756836,47.077789306640625,3.0,247.0,94.59950256347656,48.36918640136719,255.0,255.0,255.0,0.0,4.502599716186523,240.66539001464844,93.91543579101562,46.87298583984375,44889
mesh_233801.ply,2.0,234.0,89.44718170166016,45.69559097290039,5.0,242.0,91.58390045166016,46.66059875488281,3.0,247.0,92.02005004882812,47.8935661315918,255.0,255.0,255.0,0.0,4.502599716186523,240.37139892578125,91.16111755371094,46.460079193115234,43790
mesh_233803.ply,2.0,234.0,88.7733154296875,45.420352935791016,5.0,242.0,90.92941284179688,46.32554626464844,3.0,247.0,91.529052734375,47.43036651611328,255.0,255.0,255.0,0.0,4.502599716186523,240.37139892578125,90.51432037353516,46.134307861328125,42359
mesh_233805.ply,2.0,234.0,84.1835708618164,42.994266510009766,5.0,242.0,86.214111328125,43.848876953125,3.0,247.0,87.27456665039062,44.61600875854492,255.0,255.0,255.0,0.0,4.502599716186523,240.37139892578125,85.85897827148438,43.65476989746094,44244
mesh_233807.ply,3.0,234.0,79.64067840576172,40.43667984008789,5.0,242.0,81.17204284667969,40.949466705322266,3.0,247.0,82.2274398803711,41.53533935546875,255.0,255.0,255.0,0.0,4.502599716186523,240.37139892578125,80.92266845703125,40.82758712768555,41013
mesh_233809.ply,3.0,234.0,81.72694396972656,38.93940353393555,5.0,242.0,82.77658081054688,38.974239349365234,3.0,247.0,83.69683074951172,39.3763313293457,255.0,255.0,255.0,0.0,4.502599716186523,240.37139892578125,82.61986541748047,38.955318450927734,43863
mesh_233811.ply,3.0,234.0,84.0179672241211,36.684139251708984,5.0,242.0,84.69430541992188,36.50950241088867,3.0,247.0,85.69407653808594,36.48591232299805,255.0,255.0,255.0,0.0,4.502599716186523,240.37139892578125,84.62269592285156,36.51393508911133,43854
mesh_233813.ply,3.0,234.0,83.15789794921875,40.59595489501953,5.0,242.0,83.73091125488281,40.98497009277344,3.0,247.0,84.7694091796875,40.87651824951172,255.0,255.0,255.0,0.0,4.502599716186523,240.37139892578125,83.68407440185547,40.87006378173828,41407
mesh_233815.ply,3.0,234.0,85.22295379638672,42.22590637207031,5.0,242.0,85.53926086425781,42.80825424194336,4.0,247.0,86.48733520507812,42.73194885253906,255.0,255.0,255.0,0.0,4.502599716186523,240.37139892578125,85.54046630859375,42.65974807739258,39825
mesh_233817.ply,12.0,197.0,86.54190826416016,43.46845245361328,14.0,202.0,86.90620422363281,44.06439208984375,16.0,211.0,87.4222412109375,44.12388229370117,255.0,255.0,255.0,0.0,13.935800552368164,199.88600158691406,86.86601257324219,43.91709899902344,38414
mesh_233820.ply,12.0,197.0,90.15814971923828,44.25166702270508,14.0,202.0,91.1722183227539,45.24290466308594,16.0,211.0,91.4622802734375,45.436588287353516,255.0,255.0,255.0,0.0,13.935800552368164,199.88600158691406,90.97757720947266,44.99626541137695,41581
mesh_233822.ply,12.0,197.0,92.53984069824219,46.057186126708984,14.0,202.0,93.5589599609375,47.24820327758789,16.0,211.0,93.66738891601562,47.55411911010742,255.0,255.0,255.0,0.0,13.935800552368164,199.88600158691406,93.35012817382812,46.960227966308594,40699
mesh_233824.ply,12.0,197.0,101.61404418945312,47.67622756958008,14.0,198.0,102.19810485839844,48.786468505859375,16.0,199.0,101.98162841796875,49.250152587890625,255.0,255.0,255.0,0.0,13.935800552368164,197.29000854492188,102.05828857421875,48.53152084350586,48601
mesh_233827.ply,29.0,197.0,104.9993896484375,46.06896209716797,28.0,198.0,105.03584289550781,46.60801696777344,21.0,199.0,104.2402572631836,46.65536117553711,255.0,255.0,255.0,0.0,28.709999084472656,197.29000854492188,104.97064971923828,46.43022918701172,47787
mesh_233830.ply,29.0,197.0,108.89201354980469,45.24998474121094,28.0,198.0,108.8564682006836,45.57271194458008,18.0,199.0,108.08505249023438,45.46957778930664,255.0,255.0,255.0,0.0,28.709999084472656,197.29000854492188,108.80833435058594,45.42924499511719,47830
mesh_233833.ply,29.0,194.0,111.21258544921875,45.50448989868164,28.0,191.0,110.84842681884766,45.3606071472168,14.0,193.0,109.91388702392578,45.0029296875,255.0,255.0,255.0,0.0,28.709999084472656,190.7191925048828,110.85836791992188,45.29727554321289,48682
